route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
14,9,10098,15 Esquimalt - Fort/Yates Exp,,0,65926,62,0,0
14,1,10099,15 Esquimalt - Fort/Yates Exp,,0,65111,62,0,0
14,4,10100,15 Esquimalt - Fort/Yates Exp,,0,66238,62,0,0
14,4,10101,15 Esquimalt - Fort/Yates Exp,,0,66219,62,0,0
14,4,10102,15 Esquimalt - Fort/Yates Exp,,0,66389,62,0,0
14,4,10103,15 Esquimalt - Fort/Yates Exp,,0,66354,62,0,0
14,9,10104,15 Esquimalt - Fort/Yates Exp,,0,65956,62,0,0
14,6,10105,15 Esquimalt - Fort/Yates Exp,,0,66119,62,0,0
14,6,10106,15 Esquimalt - Fort/Yates Exp,,0,66025,62,0,0
14,9,10107,15 Esquimalt - Fort/Yates Exp,,0,65909,62,0,0
14,6,10108,15 Esquimalt - Fort/Yates Exp,,0,66070,62,0,0
14,6,10109,15 Esquimalt - Fort/Yates Exp,,0,66121,62,0,0
14,6,10110,15 Esquimalt - Fort/Yates Exp,,0,66122,62,0,0
14,6,10111,15 Esquimalt - Fort/Yates Exp,,0,66084,62,0,0
14,6,10112,15 Esquimalt - Fort/Yates Exp,,0,66093,62,0,0
14,6,10113,15 Esquimalt - Fort/Yates Exp,,0,66134,62,0,0
14,6,10114,15 Esquimalt - Fort/Yates Exp,,0,66075,62,0,0
14,6,10115,15 Esquimalt - Fort/Yates Exp,,0,66089,62,0,0
14,6,10116,15 Esquimalt - Fort/Yates Exp,,0,66089,62,0,0
14,6,10117,15 Esquimalt - Fort/Yates Exp,,0,66155,62,0,0
14,2,10118,15 Esquimalt - Fort/Yates Exp,,0,65362,62,0,0
14,1,10119,15 Esquimalt - Fort/Yates Exp,,0,65209,62,0,0
14,6,10120,15 Esquimalt - Fort/Yates Exp,,0,66051,62,0,0
14,6,10121,15 Esquimalt - Fort/Yates Exp,,0,66053,62,0,0
14,6,10122,15 Esquimalt - Fort/Yates Exp,,0,66070,62,0,0
14,6,10123,15 Esquimalt - Fort/Yates Exp,,0,66070,62,0,0
14,6,10124,15 Esquimalt - Fort/Yates Exp,,0,66050,62,0,0
14,6,10125,15 Esquimalt - Fort/Yates Exp,,0,66025,62,0,0
14,2,10126,15 Esquimalt - Fort/Yates Exp,,0,65428,62,0,0
14,6,10127,15 Esquimalt - Fort/Yates Exp,,0,66043,62,0,0
14,1,10128,15 Esquimalt - Fort/Yates Exp,,0,65260,62,0,0
14,1,10129,15 Esquimalt - Fort/Yates Exp,,0,65026,62,0,0
14,10,10130,15 Esquimalt - Fort/Yates Exp,,0,65725,62,0,0
14,10,10131,15 Esquimalt - Fort/Yates Exp,,0,65750,62,0,0
14,7,10132,15 Esquimalt - Fort/Yates Exp,,0,65757,62,0,0
14,7,10133,15 Esquimalt - Fort/Yates Exp,,0,65757,62,0,0
14,3,10134,15 Esquimalt - Fort/Yates Exp,,0,64926,62,0,0
14,1,10135,15 Esquimalt - Fort/Yates Exp,,0,64992,62,0,0
14,7,10136,15 Esquimalt - Fort/Yates Exp,,0,65785,62,0,0
14,7,10137,15 Esquimalt - Fort/Yates Exp,,0,65788,62,0,0
14,7,10138,15 Esquimalt - Fort/Yates Exp,,0,65805,62,0,0
14,7,10139,15 Esquimalt - Fort/Yates Exp,,0,65820,62,0,0
14,10,10140,15 Esquimalt - Fort/Yates Exp,,0,65687,62,0,0
14,7,10141,15 Esquimalt - Fort/Yates Exp,,0,65752,62,0,0
14,7,10142,15 Esquimalt - Fort/Yates Exp,,0,65820,62,0,0
14,7,10143,15 Esquimalt - Fort/Yates Exp,,0,65820,62,0,0
14,7,10144,15 Esquimalt - Fort/Yates Exp,,0,65821,62,0,0
14,7,10145,15 Esquimalt - Fort/Yates Exp,,0,65771,62,0,0
14,10,10146,15 Esquimalt - Fort/Yates Exp,,0,65668,62,0,0
14,7,10147,15 Esquimalt - Fort/Yates Exp,,0,65770,62,0,0
14,10,10148,15 Esquimalt - Fort/Yates Exp,,0,65664,62,0,0
14,7,10149,15 Esquimalt - Fort/Yates Exp,,0,65871,62,0,0
14,10,10150,15 Esquimalt - Fort/Yates Exp,,0,65714,62,0,0
14,7,10151,15 Esquimalt - Fort/Yates Exp,,0,65771,62,0,0
14,7,10152,15 Esquimalt - Fort/Yates Exp,,0,65752,62,0,0
14,10,10153,15 Esquimalt - Fort/Yates Exp,,0,65707,62,0,0
14,10,10154,15 Esquimalt - Fort/Yates Exp,,0,65723,62,0,0
14,1,10155,15 Esquimalt - Fort/Yates Exp,,0,64976,62,0,0
14,1,10156,15 Esquimalt - Fort/Yates Exp,,0,65161,62,0,0
14,3,10157,15 Esquimalt - Fort/Yates Exp,,0,64924,62,0,0
14,2,10158,15 Esquimalt - Fort/Yates Exp,,0,65453,62,0,0
14,9,10159,15 Esquimalt - Fort/Yates Exp,,0,65934,62,0,0
14,1,10160,15 Esquimalt - Fort/Yates Exp,,0,65111,62,0,0
14,2,10161,15 Esquimalt - Fort/Yates Exp,,0,65564,62,0,0
14,2,10162,15 Esquimalt - Fort/Yates Exp,,0,65514,62,0,0
14,2,10163,15 Esquimalt - Fort/Yates Exp,,0,65432,62,0,0
14,10,10164,15 Esquimalt - Fort/Yates Exp,,0,65634,62,0,0
14,10,10165,15 Esquimalt - Fort/Yates Exp,,0,65639,62,0,0
14,10,10166,15 Esquimalt - Fort/Yates Exp,,0,65639,62,0,0
14,10,10167,15 Esquimalt - Fort/Yates Exp,,0,65655,62,0,0
14,10,10168,15 Esquimalt - Fort/Yates Exp,,0,65687,62,0,0
14,10,10169,15 Esquimalt - Fort/Yates Exp,,0,65669,62,0,0
