stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
307,101004,Quadra at Ambassador,,48.476504,-123.373612,,,0,,2
308,101034,Quadra at Rogers,,48.478428,-123.375977,,,0,,2
309,101089,Quadra at Beckwith,,48.481381,-123.378133,,,0,,2
310,101146,Quadra at Caen,,48.484493,-123.380562,,,0,,2
311,101166,Quadra at Chatterton,,48.48576,-123.382128,,,0,,2
312,101257,"West Saanich, 4360 block",,48.48988,-123.385796,,,0,,2
313,101316,West Saanich at Royal Oak Shopping Ctr,,48.492843,-123.387293,,,0,,2
314,101345,West Saanich at Elk Lake Dr.,,48.49569,-123.389282,,,0,,2
315,101399,West Saanich at Pipeline,,48.497761,-123.39222,,,0,,2
316,101412,Royal Oak at West Saanich,,48.4985,-123.393149,,,0,,2
317,100069,Quadra at View,,48.424425,-123.35951,,,0,,2
318,100085,Quadra at Johnson,,48.42615,-123.359077,,,0,,2
319,100118,Quadra at Mason,,48.427888,-123.358906,,,0,,2
320,100133,Quadra at Balmoral,,48.429235,-123.358728,,,0,,2
321,100147,Quadra at Caledonia,,48.430589,-123.358542,,,0,,2
322,100171,Quadra at Princess - Crystal Pool,,48.4332,-123.358187,,,0,,2
323,100208,Quadra at Bay,,48.435577,-123.357996,,,0,,2
324,100234,Quadra at Kings,,48.437908,-123.358627,,,0,,2
325,101414,Royal Oak Exch / Commonwealth Place,,48.499014,-123.388922,,,0,,2
326,101381,Royal Oak at Falaise Dr - Broadmead Vlg,,48.498045,-123.380602,,,0,,2
327,101369,Chatterton at Royal Oak Dr.,,48.497136,-123.380046,,,0,,2
328,101351,"Chatterton, 4540 block",,48.496563,-123.383551,,,0,,2
329,101333,Chatterton at Royal Oak Av.,,48.494632,-123.384631,,,0,,2
330,101306,Chatterton at Dalewood,,48.493054,-123.38399,,,0,,2
331,101234,"Chatterton, 4420 block",,48.488209,-123.383192,,,0,,2
332,101370,Royal Oak Dr. at Chatterton,,48.497495,-123.377643,,,0,,2
333,101362,Royal Oak Dr. at Royal Oak Av.,,48.497505,-123.372952,,,0,,2
334,101382,Royal Oak at Tanglewood,,48.498463,-123.369546,,,0,,2
335,101404,Emily Carr at Carolwood,,48.499211,-123.366838,,,0,,2
336,101356,Emily Carr at Rithetwood,,48.496998,-123.366478,,,0,,2
337,101323,Emily Carr at Lohbrunner Rd W,,48.494041,-123.368346,,,0,,2
338,101297,Emily Carr at Thistlewood,,48.49241,-123.372274,,,0,,2
339,101242,Emily Carr at Parkwood,,48.489626,-123.372958,,,0,,2
340,101225,Emily Carr at Crownwood,,48.488339,-123.377766,,,0,,2
341,101197,Emily Carr at Maltwood,,48.487019,-123.38126,,,0,,2
342,101188,Emily Carr at Maltwood,,48.486906,-123.381093,,,0,,2
343,101221,Emily Carr at Crownwood,,48.488348,-123.376468,,,0,,2
344,101243,Emily Carr at Parkwood,,48.489566,-123.37277,,,0,,2
345,101300,Emily Carr at Owlwood,,48.492668,-123.371089,,,0,,2
346,101321,Emily Carr at Shadywood,,48.494416,-123.367939,,,0,,2
347,101384,Emily Carr at Carolwood,,48.498441,-123.366084,,,0,,2
348,101393,Royal Oak at Tanglewood,,48.498697,-123.369368,,,0,,2
349,101372,Royal Oak Dr. at Royal Oak Av.,,48.497738,-123.373954,,,0,,2
350,101402,Royal Oak at Falaise Dr - Broadmead Vlg,,48.498713,-123.382136,,,0,,2
351,101922,Royal Oak Exchange,,48.498654,-123.388533,,,0,,2
352,101217,"Chatterton, 4430 block",,48.488414,-123.38304,,,0,,2
353,101313,Chatterton at Dalewood,,48.493469,-123.383599,,,0,,2
354,101335,Chatterton at Royal Oak Av.,,48.4947,-123.384434,,,0,,2
355,101353,"Chatterton, 4550 block",,48.496439,-123.383248,,,0,,2
356,101366,Chatterton at Royal Oak Dr.,,48.49709,-123.379819,,,0,,2
357,100405,UVic Exchange,,48.466248,-123.308867,,,0,,2
358,100725,Foul Bay at Lansdowne,,48.445461,-123.321893,,,0,,2
359,100702,Foul Bay at Forrester,,48.443338,-123.321974,,,0,,2
360,100681,Foul Bay at Neil,,48.44171,-123.322084,,,0,,2
361,100659,Foul Bay at Townley,,48.440056,-123.322168,,,0,,2
362,100625,Foul Bay at Kings,,48.437383,-123.322291,,,0,,2
363,100602,Foul Bay at Haultain,,48.435462,-123.322366,,,0,,2
364,100383,Fairfield at Robertson,,48.415109,-123.332041,,,0,,2
365,100340,Fairfield at Lillian,,48.413137,-123.334293,,,0,,2
366,100091,Fairfield at Cook,,48.418159,-123.356234,,,0,,2
367,100073,Fairfield at Vancouver,,48.418377,-123.358013,,,0,,2
368,100035,Fairfield at Quadra,,48.420212,-123.360755,,,0,,2
369,100051,Douglas at Yates / Johnson,,48.426708,-123.364671,,,0,,2
370,100024,Fairfield at Blanshard - Bay B,,48.421242,-123.363528,,,0,,2
371,100039,Fairfield at Quadra,,48.420187,-123.361008,,,0,,2
372,100056,Fairfield at Vancouver,,48.418365,-123.358659,,,0,,2
373,100092,Fairfield at Cook,,48.418006,-123.355761,,,0,,2
374,100345,Fairfield at Lillian,,48.413071,-123.334116,,,0,,2
375,100390,Fairfield at Richmond,,48.415287,-123.330948,,,0,,2
376,100575,Foul Bay at Cadboro Bay / Fort,,48.432804,-123.322303,,,0,,2
377,100605,Foul Bay at Haultain,,48.435649,-123.322168,,,0,,2
378,100626,Foul Bay at Kings,,48.437565,-123.322077,,,0,,2
379,100665,Foul Bay at Townley,,48.440525,-123.321932,,,0,,2
380,100689,Foul Bay at Neil,,48.442222,-123.321826,,,0,,2
381,100717,Foul Bay at Cochrane,,48.444582,-123.321762,,,0,,2
382,102426,UVic Exchange,,48.466094,-123.309073,,,0,,2
383,100236,Fairfield at Memorial,,48.412313,-123.343412,,,0,,2
384,100205,Fairfield at Kipling,,48.414005,-123.345655,,,0,,2
385,100164,Fairfield at Moss,,48.415539,-123.349084,,,0,,2
386,100137,Fairfield at Linden,,48.417108,-123.352486,,,0,,2
387,100124,Fairfield at Trutch,,48.417596,-123.353766,,,0,,2
388,100123,Fairfield at Trutch,,48.417471,-123.353763,,,0,,2
389,100141,Fairfield at Linden,,48.416737,-123.35186,,,0,,2
